timestamp,facility_id,facility_name,current,maximum,remaining,pct_full,page_last_update
2026-05-25T15:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,67,300,233,22.3,3:30 PM
2026-05-25T15:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,5,25,20,20.0,3:30 PM
2026-05-25T16:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1023,2500,1477,40.9,4:00 PM
2026-05-25T16:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,104,300,196,34.7,4:00 PM
2026-05-25T16:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,9,25,16,36.0,4:00 PM
2026-05-25T16:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1464,2500,1036,58.6,4:30 PM
2026-05-25T16:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,175,300,125,58.3,4:30 PM
2026-05-25T16:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,14,25,11,56.0,4:30 PM
2026-05-25T17:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,2145,2500,355,85.8,5:00 PM
2026-05-25T17:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,264,300,36,88.0,5:00 PM
2026-05-25T17:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,19,25,6,76.0,5:00 PM
2026-05-25T17:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,2464,2500,36,98.6,5:30 PM
2026-05-25T17:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,244,300,56,81.3,5:30 PM
2026-05-25T17:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,24,25,1,96.0,5:30 PM
2026-05-25T18:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,2500,2500,0,100.0,6:00 PM
2026-05-25T18:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,300,300,0,100.0,6:00 PM
2026-05-25T18:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,25,25,0,100.0,6:00 PM
2026-05-25T18:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,2196,2500,304,87.8,6:30 PM
2026-05-25T18:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,272,300,28,90.7,6:30 PM
2026-05-25T18:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,24,25,1,96.0,6:30 PM
2026-05-25T19:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1668,2500,832,66.7,7:00 PM
2026-05-25T19:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,230,300,70,76.7,7:00 PM
2026-05-25T19:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,17,25,8,68.0,7:00 PM
2026-05-25T19:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1260,2500,1240,50.4,7:30 PM
2026-05-25T19:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,148,300,152,49.3,7:30 PM
2026-05-25T19:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,15,25,10,60.0,7:30 PM
2026-05-25T20:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,817,2500,1683,32.7,8:00 PM
2026-05-25T20:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,102,300,198,34.0,8:00 PM
2026-05-25T20:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,8:00 PM
2026-05-25T20:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,582,2500,1918,23.3,8:30 PM
2026-05-25T20:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,54,300,246,18.0,8:30 PM
2026-05-25T20:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,5,25,20,20.0,8:30 PM
2026-05-25T21:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,267,2500,2233,10.7,9:00 PM
2026-05-25T21:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,35,300,265,11.7,9:00 PM
2026-05-25T21:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,2,25,23,8.0,9:00 PM
2026-05-25T21:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,129,2500,2371,5.2,9:30 PM
2026-05-25T21:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,13,300,287,4.3,9:30 PM
2026-05-25T21:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,1,25,24,4.0,9:30 PM
2026-05-25T22:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,43,2500,2457,1.7,10:00 PM
2026-05-25T22:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,6,300,294,2.0,10:00 PM
2026-05-25T22:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,10:00 PM
2026-05-25T22:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,14,2500,2486,0.6,10:30 PM
2026-05-25T22:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,1,300,299,0.3,10:30 PM
2026-05-25T22:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,10:30 PM
2026-05-25T23:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,4,2500,2496,0.2,11:00 PM
2026-05-25T23:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,0,300,300,0.0,11:00 PM
2026-05-25T23:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,11:00 PM
2026-05-25T23:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,46,2500,2454,1.8,11:30 PM
2026-05-25T23:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,5,300,295,1.7,11:30 PM
2026-05-25T23:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,11:30 PM
2026-05-26T00:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,48,2500,2452,1.9,12:00 AM
2026-05-26T00:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,6,300,294,2.0,12:00 AM
2026-05-26T00:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,12:00 AM
2026-05-26T00:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,52,2500,2448,2.1,12:30 AM
2026-05-26T00:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,6,300,294,2.0,12:30 AM
2026-05-26T00:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,12:30 AM
2026-05-26T01:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,52,2500,2448,2.1,1:00 AM
2026-05-26T01:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,5,300,295,1.7,1:00 AM
2026-05-26T01:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,1:00 AM
2026-05-26T01:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,54,2500,2446,2.2,1:30 AM
2026-05-26T01:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,6,300,294,2.0,1:30 AM
2026-05-26T01:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,1:30 AM
2026-05-26T02:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,48,2500,2452,1.9,2:00 AM
2026-05-26T02:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,5,300,295,1.7,2:00 AM
2026-05-26T02:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,2:00 AM
2026-05-26T02:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,52,2500,2448,2.1,2:30 AM
2026-05-26T02:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,5,300,295,1.7,2:30 AM
2026-05-26T02:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,2:30 AM
2026-05-26T03:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,45,2500,2455,1.8,3:00 AM
2026-05-26T03:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,5,300,295,1.7,3:00 AM
2026-05-26T03:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,3:00 AM
2026-05-26T03:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,43,2500,2457,1.7,3:30 AM
2026-05-26T03:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,5,300,295,1.7,3:30 AM
2026-05-26T03:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,3:30 AM
2026-05-26T04:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,44,2500,2456,1.8,4:00 AM
2026-05-26T04:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,5,300,295,1.7,4:00 AM
2026-05-26T04:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,4:00 AM
2026-05-26T04:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,55,2500,2445,2.2,4:30 AM
2026-05-26T04:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,6,300,294,2.0,4:30 AM
2026-05-26T04:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,4:30 AM
2026-05-26T05:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,46,2500,2454,1.8,5:00 AM
2026-05-26T05:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,5,300,295,1.7,5:00 AM
2026-05-26T05:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,5:00 AM
2026-05-26T05:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,44,2500,2456,1.8,5:30 AM
2026-05-26T05:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,6,300,294,2.0,5:30 AM
2026-05-26T05:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,0,25,25,0.0,5:30 AM
2026-05-26T06:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,228,2500,2272,9.1,6:00 AM
2026-05-26T06:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,27,300,273,9.0,6:00 AM
2026-05-26T06:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,2,25,23,8.0,6:00 AM
2026-05-26T06:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,363,2500,2137,14.5,6:30 AM
2026-05-26T06:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,47,300,253,15.7,6:30 AM
2026-05-26T06:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,3,25,22,12.0,6:30 AM
2026-05-26T07:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,688,2500,1812,27.5,7:00 AM
2026-05-26T07:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,67,300,233,22.3,7:00 AM
2026-05-26T07:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,5,25,20,20.0,7:00 AM
2026-05-26T07:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,913,2500,1587,36.5,7:30 AM
2026-05-26T07:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,97,300,203,32.3,7:30 AM
2026-05-26T07:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,7,25,18,28.0,7:30 AM
2026-05-26T08:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,886,2500,1614,35.4,8:00 AM
2026-05-26T08:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,90,300,210,30.0,8:00 AM
2026-05-26T08:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,8:00 AM
2026-05-26T08:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,920,2500,1580,36.8,8:30 AM
2026-05-26T08:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,107,300,193,35.7,8:30 AM
2026-05-26T08:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,8:30 AM
2026-05-26T09:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,582,2500,1918,23.3,9:00 AM
2026-05-26T09:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,72,300,228,24.0,9:00 AM
2026-05-26T09:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,5,25,20,20.0,9:00 AM
2026-05-26T09:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,557,2500,1943,22.3,9:30 AM
2026-05-26T09:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,62,300,238,20.7,9:30 AM
2026-05-26T09:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,5,25,20,20.0,9:30 AM
2026-05-26T10:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,647,2500,1853,25.9,10:00 AM
2026-05-26T10:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,75,300,225,25.0,10:00 AM
2026-05-26T10:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,7,25,18,28.0,10:00 AM
2026-05-26T10:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,972,2500,1528,38.9,10:30 AM
2026-05-26T10:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,112,300,188,37.3,10:30 AM
2026-05-26T10:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,9,25,16,36.0,10:30 AM
2026-05-26T11:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1087,2500,1413,43.5,11:00 AM
2026-05-26T11:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,127,300,173,42.3,11:00 AM
2026-05-26T11:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,9,25,16,36.0,11:00 AM
2026-05-26T11:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1096,2500,1404,43.8,11:30 AM
2026-05-26T11:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,125,300,175,41.7,11:30 AM
2026-05-26T11:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,9,25,16,36.0,11:30 AM
2026-05-26T12:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,965,2500,1535,38.6,12:00 PM
2026-05-26T12:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,126,300,174,42.0,12:00 PM
2026-05-26T12:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,10,25,15,40.0,12:00 PM
2026-05-26T12:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1153,2500,1347,46.1,12:30 PM
2026-05-26T12:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,148,300,152,49.3,12:30 PM
2026-05-26T12:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,10,25,15,40.0,12:30 PM
2026-05-26T13:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1122,2500,1378,44.9,1:00 PM
2026-05-26T13:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,136,300,164,45.3,1:00 PM
2026-05-26T13:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,11,25,14,44.0,1:00 PM
2026-05-26T13:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,814,2500,1686,32.6,1:30 PM
2026-05-26T13:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,93,300,207,31.0,1:30 PM
2026-05-26T13:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,7,25,18,28.0,1:30 PM
2026-05-26T14:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,620,2500,1880,24.8,2:00 PM
2026-05-26T14:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,74,300,226,24.7,2:00 PM
2026-05-26T14:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,7,25,18,28.0,2:00 PM
2026-05-26T14:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,576,2500,1924,23.0,2:30 PM
2026-05-26T14:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,68,300,232,22.7,2:30 PM
2026-05-26T14:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,5,25,20,20.0,2:30 PM
2026-05-26T15:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,381,2500,2119,15.2,3:00 PM
2026-05-26T15:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,47,300,253,15.7,3:00 PM
2026-05-26T15:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,3,25,22,12.0,3:00 PM
2026-05-26T15:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,549,2500,1951,22.0,3:30 PM
2026-05-26T15:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,70,300,230,23.3,3:30 PM
2026-05-26T15:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,5,25,20,20.0,3:30 PM
2026-05-26T16:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,988,2500,1512,39.5,4:00 PM
2026-05-26T16:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,109,300,191,36.3,4:00 PM
2026-05-26T16:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,4:00 PM
2026-05-26T16:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,1548,2500,952,61.9,4:30 PM
2026-05-26T16:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,162,300,138,54.0,4:30 PM
2026-05-26T16:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,15,25,10,60.0,4:30 PM
2026-05-26T17:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,2222,2500,278,88.9,5:00 PM
2026-05-26T17:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,226,300,74,75.3,5:00 PM
2026-05-26T17:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,18,25,7,72.0,5:00 PM
2026-05-26T17:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,2500,2500,0,100.0,5:30 PM
2026-05-26T17:30:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,300,300,0,100.0,5:30 PM
2026-05-26T17:30:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,21,25,4,84.0,5:30 PM
2026-05-26T18:00:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,2220,2500,280,88.8,6:00 PM
2026-05-26T18:00:00,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,268,300,32,89.3,6:00 PM
2026-05-26T18:00:00,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,25,25,0,100.0,6:00 PM
2026-05-26T18:30:00,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,2500,2500,0,100.0,6:30 PM
